"spider_id","site","site_type","sex","z_ln_weight","z_poke_score","z_ln_tot_prey_attack","z_ln_Tactive","z_days_noweb","in_situ","landPC1","landsub_pc1","mh_pc1"
"A01","South Alster","Urban","F",0.157866858041438,0.32949246839548,NA,NA,0.167868743865926,0,0.0211937520245644,1.43458767468614,0.753457066389678
"A02","South Alster","Urban","F",0.663325563514774,-0.137041504156182,NA,NA,-0.393977664175133,0,0.0211937520245644,1.43458767468614,0.753457066389678
"A03","South Alster","Urban","F",0.397765915435587,1.17773605485305,NA,NA,-0.393977664175133,0,0.0211937520245644,1.43458767468614,0.753457066389678
"A04","South Alster","Urban","F",0.397765915435587,2.66216233115379,NA,0.465985962454327,1.29156155994805,0,0.0211937520245644,1.43458767468614,0.753457066389678
"B01","Alsterufer","Urban","F",-0.420150930257185,-0.165316290371434,NA,NA,0.729715151906986,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B02","Alsterufer","Urban","F",0.00582829253494645,-0.94287291129087,NA,0.962604833651064,0.167868743865926,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B03","Alsterufer","Urban","F",0.495985588945913,0.965675158238655,NA,0.492819350535793,0.167868743865926,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B04","Alsterufer","Urban","F",-0.758269661161659,-0.306690221447695,NA,1.22710334589296,-0.955824072216193,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B05","Alsterufer","Urban","I",-0.758269661161659,-1.57905560113405,NA,-0.818036796846905,1.29156155994805,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B06","Alsterufer","Urban","F",0.157866858041438,-0.137041504156182,NA,0.115712771465981,-0.393977664175133,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B07","Alsterufer","Urban","F",-0.180251872863036,-0.94287291129087,NA,-0.300682460699548,1.29156155994805,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B08","Alsterufer","Urban","M",-0.758269661161659,-0.200659773140499,NA,0.802455001314466,0.167868743865926,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B09","Alsterufer","Urban","F",0.00582829253494645,-0.561163297384965,NA,0.784155335995758,-0.393977664175133,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B10","Alsterufer","Urban","M",-0.180251872863036,0.0326072131353313,NA,-1.02926656634758,-0.955824072216193,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B11","Alsterufer","Urban","F",0.00582829253494645,-0.730812014676478,NA,-1.44931898080835,-0.393977664175133,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"B12","Alsterufer","Urban","F",1.41212210814901,-0.815636373322235,NA,0.856760837492285,-0.393977664175133,0,0.0104000288115565,1.62429468671525,-0.667731975120759
"C01","Volkspark","Sub urban",NA,-1.33628744946028,-0.94287291129087,NA,NA,0.167868743865926,0,-0.147503695362142,-0.264744747684683,0.259718553529123
"C02","Volkspark","Sub urban","M",-1.33628744946028,-0.306690221447695,NA,0.0307643350457711,-0.955824072216193,0,-0.147503695362142,-0.264744747684683,0.955152928538914
"C03","Volkspark","Sub urban","M",-0.758269661161659,-1.6638799597798,NA,-2.0186471045276,-0.955824072216193,0,-0.147503695362142,-0.264744747684683,0.955152928538914
"C04","Volkspark","Sub urban",NA,-1.33628744946028,-2.85142098082039,NA,NA,-0.955824072216193,0,-0.147503695362142,-0.264744747684683,0.955152928538914
"D01","North Alster","Urban","M",-0.758269661161659,0.117431571781088,-0.354034155632135,-0.720457499168802,0.167868743865926,0,0.702775420931827,-0.97942512164339,4.5981250518306
"D03","North Alster","Urban","M",-1.33628744946028,0.626377723655628,0.270790997225712,-2.1183851265607,-0.393977664175133,0,0.702775420931827,-0.97942512164339,0.98922427488635
"D04","North Alster","Urban","F",0.97578370373421,-0.518751118062087,-0.443294891754684,-1.9259928583631,0.729715151906986,0,0.702775420931827,-0.97942512164339,1.26264928724071
"D05","North Alster","Urban","F",-1.33628744946028,-0.306690221447695,0.270790997225712,0.820677958899297,-0.393977664175133,0,0.702775420931827,-0.97942512164339,3.23436384999839
"D06","North Alster","Urban","M",-1.33628744946028,-0.589438083600218,-0.889598572367432,0.975526534966931,-0.955824072216193,0,0.702775420931827,-0.97942512164339,1.52899042360282
"D07","North Alster","Urban","M",-0.758269661161659,-0.730812014676478,0.627833941715911,0.816253382209238,-0.955824072216193,0,0.702775420931827,-0.97942512164339,1.52899042360282
"D09","North Alster","Urban","M",-0.758269661161659,1.28376650316024,0.181530261103163,0.993934277565695,0.167868743865926,0,0.702775420931827,-0.97942512164339,-0.698483981042707
"D10","North Alster","Urban","F",-0.758269661161659,-0.872185945752739,-1.15738078073508,-1.17995661650368,-0.955824072216193,0,0.702775420931827,-0.97942512164339,-0.700321729311963
"D11","North Alster","Urban","F",-1.33628744946028,-0.815636373322235,-0.0862519472644859,-0.119554339093643,-0.955824072216193,0,0.702775420931827,-0.97942512164339,2.89808679218629
"D12","North Alster","Urban","F",-1.33628744946028,-0.94287291129087,-1.42516298910273,-1.79958330943783,-0.393977664175133,0,0.702775420931827,-0.97942512164339,2.38347036555574
"D13","North Alster","Urban","F",0.663325563514774,NA,NA,-1.200668240355,1.85340796798911,0,0.702775420931827,-0.97942512164339,-0.28551632048099
"E01","Botanical gardens","Sub urban","M",-1.33628744946028,-0.900460731967992,-0.354034155632135,1.05135427195046,-0.393977664175133,0,-0.45961285002464,-0.401262554115808,-0.735874667815631
