"spider_id","site","site_type","sex","weight","days_noweb_lab","trial_num","poke_score","percent_time_moving","tot_prey_attack","mean_Tactive_lab","ln_weight","ln_poke_score","ln_tot_prey_attack","ln_Tactive_lab","Tactive_lab","z_ln_weight","z_poke_score","z_ln_tot_prey_attack","z_ln_Tactive_lab","in_situ","z_days_noweb","landPC1","landsub_pc1","mh_pc1"
"D05","North Alster","Urban","F",0.01,1,1,NA,15.79,25,94.74,-4.60517018598809,NA,3.23867845216438,4.55640002161866,94.74,-1.33969896241424,NA,0.410062419522302,0.531310096314754,0,-0.394983480629853,0.702775420931827,-0.97942512164339,3.23436384999839
"D06","North Alster","Urban","M",0.01,0,1,2,48.56,12,291.36,-4.60517018598809,0.916290731874155,2.52572864430826,5.6762742352396,291.36,-1.33969896241424,-0.784531913203222,-0.51741417143934,1.01096519660844,0,-0.958264270397643,0.702775420931827,-0.97942512164339,1.52899042360282
"D07","North Alster","Urban","M",0.02,0,1,1.5,35.72,29,214.32,-3.91202300542815,0.693147180559945,3.38439026334577,5.3698004681699,214.32,-0.760205507204881,-1.07233809572639,0.59961895268661,0.879698931439345,0,-0.958264270397643,0.702775420931827,-0.97942512164339,1.52899042360282
"D09","North Alster","Urban","M",0.02,2,1,4,37.71,24,226.26,-3.91202300542815,1.50407739677627,3.19867311755068,5.4238921894561,226.26,-0.760205507204881,0.366692816889462,0.358019469290831,0.902867042360215,0,0.168297309137937,0.702775420931827,-0.97942512164339,-0.698483981042707
"D10","North Alster","Urban","F",0.02,0,1,2,3.09,9,18.54,-3.91202300542815,0.916290731874155,2.2512917986065,2.94654202936322,18.54,-0.760205507204881,-0.784531913203222,-0.874429135579846,-0.158210733205172,0,-0.958264270397643,0.702775420931827,-0.97942512164339,-0.700321729311963
"D11","North Alster","Urban","F",0.01,0,1,3,0,21,0,-4.60517018598809,1.25276296849537,3.06805293513362,-0.693147180559945,0,-1.33969896241424,-0.20891954815688,0.188095639921605,-1.71713179040034,0,-0.958264270397643,0.702775420931827,-0.97942512164339,2.89808679218629
"D12","North Alster","Urban","F",0.01,1,1,NA,0.51,6,3.06,-4.60517018598809,NA,1.87180217690159,1.26976054486394,3.06,-1.33969896241424,NA,-1.36810728341829,-0.876395669813009,0,-0.394983480629853,0.702775420931827,-0.97942512164339,2.38347036555574
"D13","North Alster","Urban","F",0.11,5,1,NA,0.12,NA,0.72,-2.20727491318972,NA,NA,0.198850858745165,0.72,0.665019019330388,NA,NA,-1.335078695686,0,1.85813967844131,0.702775420931827,-0.97942512164339,-0.28551632048099
"E01","Botanical gardens","Sub urban","M",0.01,1,1,NA,33.15,18,198.9,-4.60517018598809,NA,2.91777073208428,5.29531285752774,198.9,-1.33969896241424,NA,-0.00740651721556815,0.84779502480533,0,-0.394983480629853,-0.45961285002464,-0.401262554115808,-0.735874667815631
"E02","Botanical gardens","Sub urban","M",0.01,0,1,2,0.61,17,3.66,-4.60517018598809,0.916290731874155,2.86220088092947,1.42551507427317,3.66,-1.33969896241424,-0.784531913203222,-0.0796973510742545,-0.809684200331607,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,-0.732288210305375
"E03","Botanical gardens","Sub urban","F",0.01,1,1,2,0,10,0,-4.60517018598809,0.916290731874155,2.35137525716348,-0.693147180559945,0,-1.33969896241424,-0.784531913203222,-0.744230538243506,-1.71713179040034,0,-0.394983480629853,-0.45961285002464,-0.401262554115808,-0.730494981550247
"E04","Botanical gardens","Sub urban","F",0.01,1,1,NA,8.33,10,49.98,-4.60517018598809,NA,2.35137525716348,3.92157721823296,49.98,-1.33969896241424,NA,-0.744230538243506,0.259408134716628,0,-0.394983480629853,-0.45961285002464,-0.401262554115808,-0.667731975120759
"E05","Botanical gardens","Sub urban","M",0.01,1,1,NA,20.15,9,120.9,-4.60517018598809,NA,2.2512917986065,4.7990908786254,120.9,-1.33969896241424,NA,-0.874429135579846,0.635257402130056,0,-0.394983480629853,-0.45961285002464,-0.401262554115808,1.9865662054721
